WMO,DeploymentDate,Floatmodel,program,RBRSN,X2old,X3old,X4old,X2,X3,X4,Source,Notes
5904925,2015-07-24T08:23:00,APEX,Argo AUSTRALIA,60263,1.8732e-06,-7.7689e-10,1.489e-13,NaN,NaN,NaN,N/A,different CTD design
4902387,2016-05-08T17:22:00,NOVA,Argo CANADA,NaN,4e-07,0,0,NaN,NaN,NaN,N/A,<undefined>
6901191,2016-06-13T02:44:00,APEX,Argo UK,40341,4e-07,0,0,NaN,NaN,NaN,N/A,different CTD design
2901891,2016-06-28T11:45:00,APEX,Argo UK,40343,4e-07,0,0,NaN,NaN,NaN,N/A,different CTD design
6901193,2016-07-11T00:35:00,APEX,Argo UK,40342,4e-07,0,0,NaN,NaN,NaN,N/A,different CTD design
2901901,2017-02-10T12:00:00,APEX,Argo UK,40344,4e-07,0,0,NaN,NaN,NaN,N/A,different CTD design
6901203,2017-10-02T14:25:00,APEX,Argo UK,40328,4e-07,0,0,NaN,NaN,NaN,N/A,different CTD design
2902730,2018-01-11T00:00:00,APEX,Argo CHINA,40528,4e-07,0,0,NaN,NaN,NaN,<undefined>,<undefined>
2903005,2018-02-03T23:40:00,APEX,Argo JAMSTEC,40610,4e-07,0,0,1.83351e-06,-5.8275e-10,9.35339999999999e-14,deployment cast,<undefined>
2903327,2018-02-03T23:41:00,APEX,Argo JAMSTEC,40611,4e-07,0,0,2.2307705e-06,-7.090125e-10,1.137997e-13,deployment cast,<undefined>
5905468,2020-07-27T01:36:00,ALTO,Argo AUSTRALIA,203986,1.8732e-06,-7.7689e-10,1.489e-13,NaN,NaN,NaN,N/A,<undefined>
5906385,2020-08-04T00:00:00,APEX,Argo JAMSTEC,40767,4e-07,0,0,1.6108695e-06,-5.119875e-10,8.21763e-14,WMO2902532,<undefined>
5906386,2020-08-04T00:00:00,APEX,Argo JAMSTEC,40662,4e-07,0,0,1.335843e-06,-4.24574999999999e-10,6.81462e-14,WMO2902725,<undefined>
5906387,2020-08-05T00:00:00,APEX,Argo JAMSTEC,40661,4e-07,0,0,1.3838635e-06,-4.398375e-10,7.05959e-14,WMO5905869,<undefined>
5906298,2020-08-15T09:09:00,APEX,Argo UW,201597,1.8732e-06,-7.7689e-10,1.489e-13,1.30965e-06,-4.1625e-10,6.681e-14,WMO4902446,<undefined>
5905482,2020-09-21T19:40:00,ALTO,Argo AUSTRALIA,203995,1.8732e-06,-7.7689e-10,1.489e-13,1.265995e-06,-4.02374999999999e-10,6.4583e-14,WMO5906251,<undefined>
5905483,2020-09-23T10:00:00,ALTO,Argo AUSTRALIA,203997,1.8732e-06,-7.7689e-10,1.489e-13,7.8579e-07,-2.4975e-10,4.0086e-14,WMO5906267,<undefined>
5906614,2020-09-25T16:03:00,ALTO,Argo AUSTRALIA,203984,1.8732e-06,-7.7689e-10,1.489e-13,1.458077e-06,-4.63425e-10,7.43818e-14,WMO5906256,<undefined>
5906615,2020-09-27T03:29:00,ALTO,Argo AUSTRALIA,203982,1.8732e-06,-7.7689e-10,1.489e-13,1.204878e-06,-3.82949999999999e-10,6.14652e-14,WMO5906149,<undefined>
5906616,2020-09-27T09:51:00,ALTO,Argo AUSTRALIA,203981,1.8732e-06,-7.7689e-10,1.489e-13,1.300919e-06,-4.13475e-10,6.63646e-14,WMO5906263,<undefined>
5906617,2020-09-29T23:00:00,ALTO,Argo AUSTRALIA,203994,1.8732e-06,-7.7689e-10,1.489e-13,1.48427e-06,-4.71749999999999e-10,7.5718e-14,WMO5906272,<undefined>
5906618,2020-09-30T05:28:00,ALTO,Argo AUSTRALIA,203993,1.8732e-06,-7.7689e-10,1.489e-13,1.362036e-06,-4.32899999999999e-10,6.94824e-14,WMO5906153,<undefined>
5906619,2020-10-01T10:37:00,ALTO,Argo AUSTRALIA,203998,1.8732e-06,-7.7689e-10,1.489e-13,1.458077e-06,-4.63425e-10,7.43818e-14,WMO5906269,<undefined>
4903275,2020-10-05T11:00:00,ALTO,Argo WHOI,203999,1.8732e-06,-7.7689e-10,1.489e-13,NaN,NaN,NaN,<undefined>,shallow float
5906383,2020-11-10T13:00:00,SOLO_II,Argo SIO,41059,1.8732e-06,-7.7689e-10,1.489e-13,1.475539e-06,-4.68975e-10,7.52726e-14,WMO5906404,<undefined>
5906299,2020-11-21T21:54:00,APEX,Argo UW,201598,1.8732e-06,-7.7689e-10,1.489e-13,1.248533e-06,-3.96825e-10,6.36922e-14,WMO4901545,<undefined>
6903076,2020-12-11T08:35:00,ARVOR,Coriolis,203794,1.8732e-06,-7.7689e-10,1.489e-13,1.554118e-06,-4.93949999999999e-10,7.92812e-14,WMO6903010,<undefined>
6903075,2020-12-11T08:59:00,ARVOR,Coriolis,203793,1.8732e-06,-7.7689e-10,1.489e-13,1.859703e-06,-5.91074999999999e-10,9.48702e-14,WMO6903010,<undefined>
6903753,2020-12-18T18:51:00,APEX,Argo UK,203420,1.8732e-06,-7.7689e-10,1.489e-13,NaN,NaN,NaN,deployment cast,<undefined>
6903752,2020-12-21T16:05:00,APEX,Argo UK,203419,1.8732e-06,-7.7689e-10,1.489e-13,NaN,NaN,NaN,deployment cast,<undefined>
6903754,2020-12-23T13:23:00,APEX,Argo UK,203596,1.8732e-06,-7.7689e-10,1.489e-13,NaN,NaN,NaN,deployment cast,<undefined>
6903727,2020-12-27T20:00:00,APEX,Argo UK,203597,1.8732e-06,-7.7689e-10,1.489e-13,NaN,NaN,NaN,deployment cast,<undefined>
6904104,2021-01-12T12:51:00,ARVOR,Argo GERMANY 2025,205360,1.8732e-06,-7.7689e-10,1.489e-13,1.580311e-06,5.02275e-10,8.06174e-14,deployment cast,<undefined>
6904105,2021-01-12T12:51:00,ARVOR,Argo GERMANY 2025,205361,1.8732e-06,-7.7689e-10,1.489e-13,1.414422e-06,-4.49549999999999e-10,7.21548e-14,deployment cast,<undefined>
6904103,2021-01-12T12:51:00,ARVOR,Argo GERMANY 2025,205362,1.8732e-06,-7.7689e-10,1.489e-13,1.449346e-06,-4.6065e-10,7.39364e-14,deployment cast,<undefined>
6904101,2021-01-12T12:51:00,ARVOR,Argo GERMANY 2025,205365,1.8732e-06,-7.7689e-10,1.489e-13,NaN,NaN,NaN,N/A,<undefined>
6904102,2021-01-12T12:51:00,ARVOR,Argo GERMANY 2025,205363,1.8732e-06,-7.7689e-10,1.489e-13,1.466808e-06,-4.662e-10,7.48272e-14,deployment cast,<undefined>
4902533,2021-04-26T02:32:00,ARVOR,Argo CANADA,NaN,1.8732e-06,-7.7689e-10,1.489e-13,1.57158e-06,-4.995e-10,8.0172e-14,WMO5906437 + deployment cast,<undefined>
4902534,2021-04-26T02:37:00,ARVOR,Argo CANADA,NaN,1.8732e-06,-7.7689e-10,1.489e-13,1.667621e-06,-5.30025e-10,8.50714e-14,WMO5906437 + deployment cast,<undefined>
6903709,2021-05-19T06:00:00,ARVOR,Euro-Argo RISE,205366,1.8732e-06,-7.7689e-10,1.489e-13,NaN,NaN,NaN,N/A,shallow float
6903710,2021-05-21T17:00:00,ARVOR,Euro-Argo RISE,205364,1.8732e-06,-7.7689e-10,1.489e-13,NaN,NaN,NaN,N/A,shallow float
4903364,2021-08-09T19:23:00,ALTO,Argo WHOI,203996,1.8732e-06,-7.7689e-10,1.489e-13,1.13503e-06,-3.60749999999999e-10,5.7902e-14,WMO6901191,<undefined>
5906457,2021-09-15T01:02:00,APEX,Argo UW,205911,1.8732e-06,-7.7689e-10,1.489e-13,1.589042e-06,-5.0505e-10,8.10628e-14,WMO5905457,<undefined>
5906739,2021-09-26T08:00:00,SOLO_II,Argo SIO,206473,1.8732e-06,-7.7689e-10,1.489e-13,NaN,NaN,NaN,N/A,<undefined>
6903077,2021-11-15T07:15:00,ARVOR,Coriolis,203914,1.8732e-06,-7.7689e-10,1.489e-13,1.580311e-06,-5.02275e-10,8.06174e-14,WMO6902840,<undefined>
6903078,2021-11-24T02:00:00,ARVOR,Coriolis,204164,1.8732e-06,-7.7689e-10,1.489e-13,1.440615e-06,-4.57875e-10,7.3491e-14,WMO6904128,<undefined>
6904179,2022-03-04T11:46:00,APEX,Argo UK,203423,1.8732e-06,-7.7689e-10,1.489e-13,1.3533e-06,-4.3013e-10,6.9037e-14,deployment cast,<undefined>
6904180,2022-03-03T17:12:00,APEX,Argo UK,203424,1.8732e-06,-7.7689e-10,1.489e-13,1.135e-06,-3.6075e-10,5.7902e-14,deployment cast,<undefined>
4902559,2022-03-11T02:31:00,ARVOR,Argo CANADA,206075,1.8732e-06,-7.7689e-10,1.489e-13,1.501732e-06,-4.773e-10,7.66088e-14,WMO4902589,<undefined>
5905503,2022-03-19T19:40:35,ALTO,Argo AUSTRALIA,203992,1.8732e-06,-7.7689e-10,1.489e-13,1.702545e-06,-5.41124999999999e-10,8.6853e-14,WMO5905502,<undefined>
5905509,2022-03-22T03:13:58,ALTO,Argo AUSTRALIA,203989,1.8732e-06,-7.7689e-10,1.489e-13,1.623966e-06,-5.1615e-10,8.28444e-14,WMO5905508,<undefined>
3902249,2022-04-05T01:24:00,ALTO,Argo WHOI,203990,1.8732e-06,-7.7689e-10,1.489e-13,NaN,NaN,NaN,<undefined>,<undefined>
3902250,2022-04-05T17:20:00,ALTO,Argo WHOI,204001,1.8732e-06,-7.7689e-10,1.489e-13,NaN,NaN,NaN,<undefined>,<undefined>
5905511,2022-04-12T14:44:00,ALTO,Argo AUSTRALIA,203991,1.8732e-06,-7.7689e-10,1.489e-13,NaN,NaN,NaN,WMO5905510,<undefined>
4902557,2022-05-18T03:24:00,ARVOR,Argo CANADA,206072,1.8732e-06,-7.7689e-10,1.489e-13,NaN,NaN,NaN,WMO4902592,<undefined>
4902535,2022-05-18T03:24:00,ARVOR,Argo CANADA,203802,1.8732e-06,-7.7689e-10,1.489e-13,NaN,NaN,NaN,WMO4902593,<undefined>
